"ProjectID","ProjectName","ShortName","Country","State","Region","City","County","LatitudeDegrees","LatitudeMinutes","LatitudeSeconds","LatitudeDirection","LongitudeDegrees","LongitudeMinutes","LongitudeSeconds","LongitudeDirection","Technology","Status","StatusDate","PPADateMonth","PPADateDay","PPADateYear","FeedInTariffType","TariffRate","TariffRateUnit","TariffYears","TariffInfo","BreakGroundMonth","BreakGroundDay","BreakGroundYear","ProductionStartMonth","ProductionStartDay","ProductionStartYear","SiteSolarResource","SiteSolarResourceDataSource","ProjectType","Cost","CostCurrency","CostInfoSource","ElectricityGeneration","ElectricityGenerationBasis","ElectricityGenerationExplanation","ContactCompany","ContactWebSite","Contact1","Contact1Email","ContactCompany2","ContactWebSite2","Contact2","Contact2Email","ConstructionJobYears","AnnualOperationsJobs","Developer1","Developer2","Operator1","Operator2","EPCContractor","EPCContractorTask","LandArea","LandAreaUnits","DriveManufacturer1","DriveManufacturer2","HeatTransferFluidType","HeatTransferFluidCompany","GrossTurbineCapacity","NetCapacity","OtherTurbineCapacity","CapacityUnit","TurbineThermodynamicCycleType","PowerCyclePressure","PowerCyclePressureUnits","TurbineSupplier","TurbineSupplierCountry","CoolingMethod","CoolingMethodDescription","TurbineEfficiency","DesignPointSolarElectricEfficiency","DesignPointConditions","AnnualSolarElectricEfficiency","BackupType","BackupPercent","StorageType","StorageCapacity","StorageCapacityUnit","StorageDescription","LongDescription","Photo","AltText","Caption","Credit","PublishStatus"
"3","Andasol-1","AS-1","ES","  ","Granada","Aldeire","","37","13","50.83","North","3","4","14.08","West","Parabolic trough","Operational","2017/03/20","September","15","2008","Real Decreto 661/2007","27.0","Euro cents per kWh","25","","July","3","2006","November","26","2008","2136","Meteo Station","Commercial","","Euro","","158000","Expected/Planned","","ACS/Cobra Group","http://www.grupocobra.com","Manuel Cortés","mcortes@grupocobra.com","","","María Sánchez","maria.sanchez@grupocobra.com","600","40","ACS/Cobra Group","","Cobra O&M","","UTE CT Andasol-1: Cobra (80%) and Sener (20%)","","200","hectares","","","Dowtherm A","","50.0","49.9","","MW","Steam Rankine","100.0","bar","Siemens","Germany","Wet cooling","Cooling towers","38.1","","","16","","","2-tank indirect","7.5","hour(s)","28,500 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate. 1,010 MWh. Tanks are 14 m high and 36 m in diameter.","This page provides information on Andasol-1, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Andasol-1 is the first parabolic trough power plant in Europe. Located in southern Spain, this 300 million Euro power plant has been under construction since June 2006 and began operating in 2008. The nominal production capacity of 50 megawatts is enough electricity for up to 200,000 people. A two-tank indirect thermal storage system holds 28,500 tons of molten salt, and this reservoir can run the turbine for up to 7.5 hours at full load. Andasol-1 and two upcoming companion plants will help the Spanish power grid meet peak summer demand primarily caused by the high energy consumption of air conditioning units.","photo_anda_sol.jpg","Photo of four sections of parabolic troughs segmented by access roads, with each section having about 100 rows of troughs. The high-angle aerial perspective also shows the power plant facility amidst two trough sections, including two circular storage tanks.","","","Published"
"4","Andasol-2","AS-2","ES","  ","Granada","Aldeire y La Calahorra","","37","13","50.83","North","3","4","14.08","West","Parabolic trough","Operational","2017/03/20","March","30","2009","Real Decreto 661/2007","27.0","Euro cents per kWh","25","","March","15","2007","June","1","2009","2136","Meteo Station","Commercial","","Euro","","158000","Expected/Planned","","ACS/Cobra Group","http://www.grupocobra.com","Manuel Cortés","mcortes@grupocobra.com","","","María Sánchez","maria.sanchez@grupocobra.com","600","40","ACS/Cobra Group","","Cobra O&M","","UTE CT Andasol-2: Cobra (80%) and Sener (20%)","","200","hectares","","","Dowtherm A","","50.0","49.9","","MW","Steam Rankine","100.0","bar","Siemens SST-700","Germany","Wet cooling","Cooling towers","38.1","","","16","","","2-tank indirect","7.5","hour(s)","28,500 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate. 1,010 MWh. Tanks are 14 m high and 36 m in diameter.","This page provides information on Andasol-2, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"5","La Risca","Alvarado I","ES","  ","Badajoz","Alvarado","","38","49","37.0","North","6","49","34.0","West","Parabolic trough","Operational","2017/03/20","January","","2010","Real Decreto 661/2007","27.0","Euro cents per kWh","25","","December","","2007","June","","2009","2174","","","","Euro","","105200","Estimated","","Acciona Energía","http://www.acciona-energia.es","Asun Padrós","mpadros@acciona.es","","","","","350","31","Acciona Energía","","Acciona Energía","","Acciona Energía, SerIDOM (IDOM Group)","","135","hectares","","","Biphenyl/Diphenyl oxide","","50.0","50.0","","MW","Steam Rankine","100.0","bar","Siemens SST-700","","Wet cooling","","","","","","","","None","","","","This page provides information on Alvarado I, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"6","Palma del Río II","","ES","  ","Córdoba","Palma del Río","","37","38","42.0","North","5","15","29.0","West","Parabolic trough","Operational","2013/03/18","","","","RD 661/2007","27.0","Euro cents per kWh","25","","October","","2008","December","","2010","2291","","","","Euro","","114500","Estimated","","Acciona Energía","http://www.acciona-energia.es","Asun Padrós","mpadros@acciona.es","","","","","350","31","Acciona Energía","","Acciona Energía","","Acciona Energía","","135","hectares","","","Biphenyl/Diphenyl oxide","","50.0","50.0","","MW","Steam Rankine","","","","","Wet cooling","","","","","","","","None","","","","This page provides information on Palma del Río II, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"7","Manchasol-1","MS-1","ES","  ","Ciudad Real","Alcazar de San Juan","","39","11","17.08","North","3","18","33.71","West","Parabolic trough","Operational","2017/03/20","","","","","27.0","Euro cents per kWh","25","","October","","2008","January","","2011","2208","Meteo Station","Commercial","","Euro","","158000","Expected/Planned","","ACS/Cobra Group","http://www.grupocobra.com","Manuerl Cortes","mcortes@grupocobra.com","","","Gonzalo Puerto","gpuerto@eyra.net","600","40","ACS/Cobra Group","","Cobra O&M","","Cobra Instalaciones y Servicios","","200","hectares","","","Diphenyl/Diphenyl oxide","","49.9","49.9","","MW","","100.0","bar","Siemens","Germany","Wet cooling","Cooling towers","38.1","","","16","","","2-tank indirect","7.5","hour(s)","28,500 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate. 375 MWh. Tanks are 14 m high and 36 m in diameter.","This page provides information on Manchasol-1, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"8","Manchasol-2","MS-2","ES","  ","Ciudad Real","Alcazar de San Juan","","39","10","55.5","North","3","18","48.96","West","Parabolic trough","Operational","2017/03/20","","","","","27.0","Euro cents per kWh","25","","May","","2009","April","","2011","2208","Meteo Station","Commercial","","Euro","","158000","Expected/Planned","","ACS/Cobra Group","http://www.grupocobra.com","Manuel Cortes","mcortes@grupocobra.com","","","Gonzalo Puerto","gpuerto@eyra.net","600","40","ACS/Cobra Group","","Cobra O&M","","Cobra Instalaciones y Servicios","","200","hectares","","","Diphenyl/Diphenyl oxide","","50.0","50.0","","MW","","100.0","bar","Siemens","Germany","Wet cooling","Cooling towers","38.1","","","16","","","2-tank indirect","7.5","hour(s)","28,500 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate. 375 MWh. Tanks are 14 m high and 36 m in diameter.","This page provides information on Manchasol-2, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"9","Majadas I","","ES","  ","Cáceres","Majadas de Tiétar","","39","58","5.0","North","5","44","32.0","West","Parabolic trough","Operational","2017/03/20","","","","RD 661/2007","27.0","Euro cents per kWh","25","","March","","2009","October","","2010","2142","","","","","","104500","Estimated","","Acciona Energía","http://www.acciona-energia.es","Asun Padrós","mpadros@acciona.es","","","","","350","31","Acciona Energía","","Acciona Energía","","Acciona Energía, SerIDOM (IDOM Group)","","135","hectares","","","Biphenyl/Diphenyl oxide","","50.0","50.0","","MW","Steam Rankine","","","","","Wet cooling","","","","","","","","None","","","","This page provides information on Majadas I, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"10","Extresol-1","EX-1","ES","  ","Badajoz","Torre de Miguel Sesmero","","38","39","","North","6","44","","West","Parabolic trough","Operational","2017/03/20","January","1","2010","Real Decreto 661/2007","27.0","Euro cents per kWh","25","","October","3","2009","January","1","2010","2168","Meteo Station","Commercial","","Euro","","158000","Expected/Planned","","ACS/Cobra Group","http://www.grupocobra.com","Manuel Cortes","mcortes@grupocobra.com","","","Ana Salazar","amsalazar@grupocobra.com","600","40","ACS/Cobra Group","","Cobra O&M","","UTE CT Extresol-1: Cobra (80%) and Sener (20%)","","200","hectares","","","Diphenyl/Biphenyl oxide","","50.0","","","MW","Steam Rankine","100.0","bar","Siemens","Germany","Wet cooling","Cooling towers","38.1","","","16","","","2-tank indirect","7.5","hour(s)","28,500 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate. 1,010 MWh. Tanks are 14 m high and 36 m in diameter.","This page provides information on Extresol-1, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"11","Extresol-2","EX-2","ES","  ","Badajoz","Torre de Miguel Sesmero","","38","39","","North","6","44","","West","Parabolic trough","Operational","2017/03/20","","","","Real Decreto 661/2007","27.0","Euro cents per kWh","25","","November","12","2009","","","2010","2168","Meteo Station","Commercial","","Euro","","158000","Expected/Planned","","ACS/Cobra Group","http://www.grupocobra.com","Manuel Cortes","mcortes@grupocobra.com","","","Ana Salazar","amsalazar@grupocobra.com","600","40","ACS/Cobra Group","","Cobra O&M","","Cobra Instalaciones y Servicios","","200","hectares","","","Diphenyl/Biphenyl oxide","","49.9","49.9","","MW","","100.0","bar","Siemens","Germany","Wet cooling","Cooling towers","38.1","","","16","","","2-tank indirect","7.5","hour(s)","28,500 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate. 1,010 MWh. Tanks are 14 m high and 36 m in diameter.","This page provides information on Extresol-2, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"12","Arcosol 50","Valle 1","ES","  ","Cádiz","San José del Valle","","36","39","40.0","North","5","50","0.0","West","Parabolic trough","Operational","2017/03/20","January","1","2010","","","","","","May","1","2009","December","1","2011","2097","","","270000000","Euro","Torresol","175000","Expected","","Torresol","http://www.torresolenergy.com","Juan Ignacio Burgaleta","ignacio.burgaleta@torresolenergy.com","","","","","900","45","Torresol","","Torresol","","UTE Valle 1","","230","hectares","","","Diphenyl/Diphenyl Oxide","","49.9","49.9","","MW","Steam Rankine","100.0","bar","","","Wet cooling","","38.1","","","","","","2-tank indirect","7.5","hour(s)","28,500 tons of molten salt. 60% sodium nitrate, 40% potassium nitrate.","This page provides information on Arcosol 50, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
