Site Name,Power Plant Type,Plant Status,State,Lat,Lon,Plant Owner,Plant Operator,Nameplate Capacity (MW),Planned Capacity (MW),Max Tower  Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Reason Not Considered
Acadia Power Partners,Natural Gas Combined Cycle,Operating,LA,30.4284,-92.4112,Cleco Power LLC,Cleco Power LLC,"1,376",NA,0,0,Not Considered,Low Operation
Afton,Natural Gas Combined Cycle,Operating,NM,32.1134,-106.848,Public Service Company of New Mexico,Public Service Company of New Mexico,287,NA,20.9,18.7,Excellent,
Agnews Cogeneration,Natural Gas Combined Cycle,Operating,CA,37.2273,-121.6827,Calpine Corporation,"Calpine Agnews, Inc.",32,NA,0,0,Not Considered,No extra turbine space
Agua Fria,Natural Gas Combined Cycle,Operating,AZ,33.5542,-112.2161,Salt River Project,Salt River Project,390.4,NA,0,0,Not Considered,Plant Too Old
Agua Mansa,Natural Gas Combined Cycle,Planned,CA,34.0414,-117.3603,Colton City of,(blank),0,75.5,0,0,Not Considered,Need more info an extra turbine capacity
Allen,Natural Gas Combined Cycle,Under Construction,NV,36.425,-114.9,Nevada Power Company,Nevada Power Company,0,576,42.6,38.4,Excellent,
Amite South plant,Natural Gas Combined Cycle,Planned,LA,29.949803,-90.148745,"Entergy Services, Inc.",(blank),0,550,0,0,Not Considered,Need more info an extra turbine capacity
Anadarko (OK),Natural Gas Combined Cycle,Operating,OK,35.0847,-98.23,Western Farmers Electric Cooperative Inc.,Western Farmers Electric Cooperative Inc.,315.3,NA,0,0,Not Considered,Plant Too Old
Animas,Natural Gas Combined Cycle,Operating,NM,36.7251,-108.1919,Farmington City of NM,Farmington City of NM,24.6,NA,0,0,Not Considered,No extra turbine space
Apache Station,Natural Gas Combined Cycle,Operating,AZ,32.0619,-109.8931,Arizona Electric Power Cooperative Inc.,"Arizona Electric Power Cooperative, Inc.",93.1,NA,0,0,Not Considered,Plant Too Old
Apex Industrial Park,Natural Gas Combined Cycle,Operating,NV,36.4178,-114.9622,"Broadway Generating Company, LLC","Las Vegas Power Company, LLC",600.6,NA,75.2,63.8,Excellent,
Arapahoe,Natural Gas Combined Cycle,Planned,CO,39.67,-105.0028,Public Service Company of Colorado,Public Service Company of Colorado,0,480,0,0,Not Considered,Low Land
Arapahoe CC,Natural Gas Combined Cycle,Operating,CO,39.6692,-105.0018,Multi-Owned,(blank),193.9,NA,0,0,Not Considered,Low Land
Arlington Valley Energy,Natural Gas Combined Cycle,Operating,AZ,33.3417,-112.8897,"LS Power Associates, LP","Arlington Valley, LLC",713,NA,96.5,80.7,Good,
Arsenal Hill,Natural Gas Combined Cycle,Operating,LA,32.5181,-93.7611,Southwestern Electric Power Company,Southwestern Electric Power Company,508,NA,0,0,Not Considered,Need more info an extra turbine capacity
Arvah B Hopkins,Natural Gas Combined Cycle,Operating,FL,30.4522,-84.4,Tallahassee City of,Tallahassee City of,446.75,NA,44.9,37.3,Fair,
ASU Cogeneration Plant,Natural Gas Combined Cycle,Operating,AZ,32.228086,-110.954232,Arizona State University,Northwind Phoenix LLC,18,NA,0,0,Not Considered,No extra turbine space
