Developer,Project Name,Electricity Purchaser,City/County,State,Technology Type,Net Metered,Status,Land Type,Online Date,Capacity (MW),Longitude,Latitude,Locational Accuracy,ZIP,Link 1,Link 2,Link 3,Link 4,Link 5
Advanced Solar Products,Linden Solar Farm,PSE&G,Linden,NJ,PV,,Operating,Private,2010-12-31Z,4,-74.25339,40.633953,5,"07,036",http://www.pseg.com/info/media/newsreleases/2010/2010-12-01.jsp,http://www.pseg.com/family/pseandg/solar4all/attachments/Jul%2031%2012%20Solar%204%20All%20Chart.pdf,,,
AllEarth Renewables,South Burlington Solar Farm,Vermont National Guard,South Burlington,VT,PV,X,Operating,Private,2011-07-27Z,2,-73.145315,44.435868,1,"05,403",http://www.pv-tech.org/news/_a/project_focus_allearth_renewables_chittenden_to_develop_2.2mw_tracker-based/?utm_source=Feeds&utm_campaign=News+Feed&utm_medium=rss,http://www.allearthrenewables.com/news-and-resources/events-and-seminars/south-burlington-solar-farm-grand-opening/,,,
American Capital Energy,Yardville Solar Farm,PSE&G,Hamilton,NJ,PV,,Operating,Private,2011-02-01Z,5,-74.65781,40.168595,1,"08,620",http://www.americancapitalenergy.com/nv-energy/,http://www.americancapitalenergy.com/yardville-solar-farm/,,,
American Capital Energy,William Stanley Business Park,Western Massachusetts Electric Co.,Pittsfield,MA,PV,,Operating,Private,2010-10-26Z,2,-73.241116,42.452557,1,"01,201",http://www.williamstanleybp.com/index.html,http://www.iberkshires.com/story/34015/Pittsfield-to-Host-Biggest-Solar-Facility-in-New-England.htm,http://www.businesswire.com/news/home/20101026006896/en/WMECo-Completes-1.8-MW-Solar-Facility-Pittsfieldl,,
Arizona Public Service,Prescott Solar Power Plant,Arizona Public Service,Prescott,AZ,PV,,Operating,Private,2006-12-01Z,3.5,-112.406,34.6778,1,"86,323",http://www.pinnaclewest.com/files/annual/2006/MK-_APS_Renew__Gen_and_Proc.pdf,,,,
BP Solar,"Colorado State University, Pueblo Solar Farm","Colorado State University, Pueblo",Pueblo,CO,PV,X,Operating,,2009-01-12Z,1,-104.574,38.3125,1,"81,001",http://www.colostate-pueblo.edu/Communications/Media/PressReleases/2008/Pages/20080708.aspx,http://www.colostate-pueblo.edu/Communications/Media/PressReleases/2009/Pages/20090103.aspx,,,
BP Solar,USMC 29 Palms,United States Marine Corps,Twentynine Palms,CA,PV,X,Operating,,2003-08-01Z,1,-116.05281,34.238737,1,"92,277",http://www.bp.com/liveassets/bp_internet/solar/bp_solar_usa/STAGING/local_assets/downloads_pdfs/29PalmsTag.pdf,,,,
BP Solar,Long Island Solar Farm,Long Island Power Authority,Brookhaven,NY,PV,,Operating,Public,2011-11-18Z,38,-72.8785,40.8705,1,"11,961",http://www.ny.gov/governor/press/press_0227092_print.html,http://www.lipower.org/newscenter/pr/2011/111811-solar.html,,,
Cleantech America Inc.,CalRENEW-1,Pacific Gas & Electric,Mendota,CA,Thin-film,,Operating,Private,2010-06-03Z,5,-120.365853,36.759613,1,"93,640",http://www.cleantechamerica.com/media/CalRENEW-1PressRelease.pdf,http://www.getsolar.com/blog/officials-dedicate-calrenew-a-california-solar-power-plant/7171/,http://www.meridianenergyusa.com/media/CalRENEW-1FactSheet.pdf,http://www.pv-tech.org/news/_a/calrenew_-1_celebrates_with_dedication_ceremony/,
Con Edison/Panda Energy,,Atlantic City Electric,Pilesgrove Township,NJ,PV,,Operating,Private,2011-12-01Z,20,-75.309809,39.61426,1,"08,098",http://www.pv-tech.org/news/_a/project_focus_con_edison_and_panda_power_begin_construction_for_20mw_solar_/?utm_source=Feeds&utm_campaign=News+Feed&utm_medium=rss,http://pandafunds.com/Investments/PilesgroveSolarProject/tabid/93/Default.aspx,http://www.nj.com/salem/index.ssf/2011/04/construction_under_way_on_larg.html,,
